rel_path,name,error
../input/A1/c1/r3/images/e7/c1r3e7n36.tif,c1r3e7n36.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n47.tif,c1r3e7n47.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n15.tif,c1r3e7n15.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n1.tif,c1r3e7n1.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n30.tif,c1r3e7n30.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n10.tif,c1r3e7n10.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n24.tif,c1r3e7n24.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n34.tif,c1r3e7n34.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n4.tif,c1r3e7n4.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n26.tif,c1r3e7n26.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n31.tif,c1r3e7n31.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n6.tif,c1r3e7n6.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n21.tif,c1r3e7n21.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n42.tif,c1r3e7n42.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n40.tif,c1r3e7n40.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n45.tif,c1r3e7n45.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n20.tif,c1r3e7n20.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n14.tif,c1r3e7n14.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n37.tif,c1r3e7n37.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n18.tif,c1r3e7n18.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n29.tif,c1r3e7n29.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n43.tif,c1r3e7n43.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n7.tif,c1r3e7n7.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n19.tif,c1r3e7n19.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n49.tif,c1r3e7n49.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n33.tif,c1r3e7n33.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n27.tif,c1r3e7n27.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n5.tif,c1r3e7n5.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n28.tif,c1r3e7n28.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n8.tif,c1r3e7n8.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n50.tif,c1r3e7n50.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n35.tif,c1r3e7n35.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n23.tif,c1r3e7n23.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n11.tif,c1r3e7n11.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n22.tif,c1r3e7n22.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n2.tif,c1r3e7n2.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n46.tif,c1r3e7n46.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n25.tif,c1r3e7n25.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n13.tif,c1r3e7n13.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n16.tif,c1r3e7n16.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n3.tif,c1r3e7n3.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n39.tif,c1r3e7n39.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n17.tif,c1r3e7n17.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n44.tif,c1r3e7n44.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n12.tif,c1r3e7n12.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n9.tif,c1r3e7n9.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n41.tif,c1r3e7n41.tif,7
../input/A1/c1/r3/images/e7/c1r3e7n48.tif,c1r3e7n48.tif,7
